,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Acumulado,DY (6M)Acumulado,DY (12M)Acumulado,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,DYPatrimonial,VariaçãoPatrimonial,Rentab. Patr.no Período,Rentab. Patr.Acumulada,VacânciaFísica,VacânciaFinanceira,QuantidadeAtivos
213,VILG11,Logística,"R$ 117,40",49685.0,"R$ 0,45","0,38%","1,36%","2,65%","5,37%","0,45%","0,44%","0,45%","1,36%","-4,46%","-4,10%","-1,15%","R$ 1.715.440.589,03","R$ 114,38",103.0,,,,,"1,10%",,13
214,VINO11,Lajes Corporativas,"R$ 60,30",54846.0,"R$ 0,45","0,73%","2,16%","3,99%","7,88%","0,72%","0,67%","0,66%","2,16%","-0,34%","0,39%","-1,03%","R$ 764.666.376,16","R$ 60,33",100.0,,,,,"3,70%",,9
215,VISC11,Shoppings,"R$ 107,09",21928.0,"R$ 0,18","0,16%","1,16%","2,37%","3,55%","0,39%","0,39%","0,30%","1,16%","-3,64%","-3,48%","-4,44%","R$ 1.706.699.631,90","R$ 119,59",90.0,,,,,"7,90%",,15
216,VLOL11,Lajes Corporativas,"R$ 102,06",145.0,"R$ 0,46","0,45%","1,25%","2,47%","5,13%","0,42%","0,41%","0,43%","1,25%","-2,10%","-1,66%","0,77%","R$ 172.897.655,91","R$ 96,87",105.0,,,,,"4,00%",,1
217,VOTS11,Títulos e Val. Mob.,"R$ 83,00",1.0,"R$ 0,44","0,52%","1,31%","2,61%","4,98%","0,44%","0,43%","0,41%","1,31%","4,25%","4,79%","5,61%","R$ 81.930.949,73","R$ 98,96",84.0,,,,,,,0
218,VRTA11,Títulos e Val. Mob.,"R$ 114,50",17110.0,"R$ 0,90","0,78%","2,35%","4,46%","8,24%","0,78%","0,74%","0,69%","2,35%","-0,36%","0,42%","1,63%","R$ 1.002.329.166,68","R$ 100,23",114.0,,,,,,,0
219,VSHO11,Shoppings,"R$ 70,50",427.0,"R$ 0,10","0,14%","0,40%","0,73%","4,23%","0,13%","0,12%","0,35%","0,40%","-6,11%","-5,98%","-13,14%","R$ 210.921.506,35","R$ 100,50",70.0,,,,,"7,07%",,3
220,VTLT11,Logística,"R$ 110,60",4753.0,"R$ 0,75","0,67%","1,97%","3,82%","7,09%","0,66%","0,64%","0,59%","1,97%","-2,33%","-1,68%","-1,74%","R$ 216.125.538,57","R$ 102,19",108.0,,,,,"0,00%","0,00%",1
221,VVPR11,Híbrido,"R$ 99,97",813.0,"R$ 0,62",,,,,,,,,,,,"R$ 231.091.836,17","R$ 100,22",100.0,,,,,"0,00%",,6
222,VXXV11,Outros,,,"R$ 10,76",,,,,,,,,,,,"R$ 72.104.144,88","R$ 1.386,62",,,,,,,,0
223,WPLZ11,Shoppings,"R$ 64,67",101.0,"R$ 0,10","0,15%","0,15%","0,00%","0,00%","0,05%","0,00%","0,00%","0,15%","-3,64%","-3,50%","-3,50%","R$ 107.158.704,61","R$ 104,98",62.0,,,,,"9,40%",,1
224,WTSP11B,Híbrido,"R$ 47,10",1.0,"R$ 0,17","0,33%","0,78%","1,54%","3,49%","0,26%","0,26%","0,29%","0,78%","-3,90%","-3,58%","-4,74%","R$ 79.151.217,54","R$ 79,74",59.0,,,,,,,0
225,XPCI11,Outros,"R$ 97,01",45170.0,"R$ 0,90","0,94%","2,65%","4,86%","8,80%","0,88%","0,81%","0,73%","2,65%","0,63%","1,57%","1,93%","R$ 637.443.437,06","R$ 97,07",100.0,,,,,,,0
226,XPCM11,Lajes Corporativas,"R$ 43,52",7016.0,"R$ 0,38","0,94%","2,53%","8,76%","17,88%","0,84%","1,46%","1,49%","2,53%","-0,49%","0,44%","-28,84%","R$ 175.883.719,98","R$ 72,84",60.0,,,,,"100,00%",,1
227,XPHT11,Hotel,"R$ 86,01",3397.0,"R$ 0,34","0,40%","1,05%","2,23%","0,00%","0,35%","0,37%","0,00%","1,05%","-18,27%","-17,94%","-16,89%","R$ 331.034.343,27","R$ 87,01",99.0,,,,,"82,20%",,5
228,XPIN11,Outros,"R$ 109,10",9304.0,"R$ 0,62","0,56%","1,65%","3,25%","6,43%","0,55%","0,54%","0,54%","1,65%","-0,75%","-0,20%","-1,78%","R$ 729.732.294,31","R$ 110,79",98.0,,,,,"9,90%",,5
229,XPLG11,Logística,"R$ 114,82",48524.0,"R$ 0,59","0,51%","1,47%","2,85%","5,59%","0,49%","0,48%","0,47%","1,47%","-3,59%","-3,10%","-2,81%","R$ 3.001.645.978,98","R$ 110,76",104.0,,,,,"8,20%","3,20%",13
230,XPML11,Shoppings,"R$ 103,42",34244.0,"R$ 0,15","0,14%","0,69%","2,05%","3,15%","0,23%","0,34%","0,26%","0,69%","2,64%","2,78%","-4,29%","R$ 2.006.411.657,54","R$ 110,20",94.0,,,,,"5,20%",,13
231,XPPR11,Outros,"R$ 66,62",16442.0,"R$ 0,48","0,70%","1,98%","4,24%","9,30%","0,66%","0,71%","0,78%","1,98%","-2,85%","-2,17%","-13,33%","R$ 638.121.228,42","R$ 87,22",76.0,,,,,"38,00%",,4
232,XPSF11,Outros,"R$ 96,10",28238.0,"R$ 0,73","0,75%","2,30%","4,61%","9,08%","0,77%","0,77%","0,76%","2,30%","-0,53%","0,22%","3,03%","R$ 424.734.197,61","R$ 98,09",98.0,,,,,,,0
233,XTED11,Lajes Corporativas,"R$ 6,86",5018.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,10%","1,10%","-37,83%","R$ 25.443.127,93","R$ 14,19",48.0,,,,,"0,00%","100,00%",1
